lvl,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
1,25,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10
2,24,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9
3,23,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8
4,22,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7
5,21,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6
6,20,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5
7,20,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4
8,20,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
9,20,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
10,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
11,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
12,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1
13,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2
14,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3
15,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4
16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5
17,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6
18,13,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7
19,12,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8
20,11,10,9,8,7,6,5,4,3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,-9
