"class
","level
","aimed_magic_items
",breath_weapons,"death_paralysis_poison
",petrifaction_polymorph,unlisted
"assassin
",1-4,14,16,13,12,15
"assassin
",5-8,12,15,12,11,13
"assassin
",9-12,10,14,11,10,11
"assassin
",13-15,8,13,10,9,9
cleric,1-3,14,16,10,13,15
cleric,4-6,13,15,9,12,14
cleric,7-9,11,13,7,10,12
cleric,10-12,10,12,6,9,11
cleric,13-15,9,11,5,8,10
cleric,16-18,8,10,4,7,9
cleric,19,6,8,2,5,7
druid,1-3,14,16,10,13,15
druid,4-6,13,15,9,12,14
druid,7-9,11,13,7,10,12
druid,10-12,10,12,6,9,11
druid,13-14,9,11,5,8,10
fighter,0,18,20,16,17,19
fighter,1-2,16,17,14,15,17
fighter,3-4,15,16,13,14,16
fighter,5-6,13,13,11,12,14
fighter,7-8,12,12,10,11,13
fighter,9-10,10,9,8,9,11
fighter,11-12,9,8,7,8,10
fighter,13-14,7,5,5,6,8
fighter,15-16,6,4,4,5,7
fighter,17-18,5,4,3,4,6
fighter,19,4,3,2,3,5
magic_user,1-5,11,15,14,13,12
magic_user,6-10,9,13,13,11,10
magic_user,11-15,7,11,11,9,8
magic_user,16-20,5,9,10,7,6
magic_user,21,3,7,8,5,4
illusionist,1-5,11,15,14,13,12
illusionist,6-10,9,13,13,11,10
illusionist,11-15,7,11,11,9,8
illusionist,16-20,5,9,10,7,6
illusionist,21,3,7,8,5,4
paladin,1-2,14,15,12,13,15
paladin,3-4,13,14,11,12,14
paladin,5-6,11,11,9,10,12
paladin,7-8,10,10,8,9,11
paladin,9-10,8,7,6,7,9
paladin,11-12,7,6,5,6,8
paladin,13-14,5,3,3,4,6
paladin,15-16,4,2,2,3,5
paladin,17-18,3,2,2,2,4
paladin,19,2,2,2,2,3
"thief
",1-4,14,16,13,12,15
"thief
",5-8,12,15,12,11,13
"thief
",9-12,10,14,11,10,11
"thief
",13-16,8,13,10,9,9
"thief
",17-20,6,12,9,8,7
"thief
",21,4,11,8,7,5
ranger,1-2,16,17,14,15,17
ranger,3-4,15,16,13,14,16
ranger,5-6,13,13,11,12,14
ranger,7-8,12,12,10,11,13
ranger,9-10,10,9,8,9,11
ranger,11-12,9,8,7,8,10
ranger,13-14,7,5,5,6,8
ranger,15-16,6,4,4,5,7
ranger,17-18,5,4,3,4,6
ranger,19,4,3,2,3,5
